"Duration..in.seconds.","Q54_First.Click","Q54_Last.Click","Q54_Page.Submit","Q54_Click.Count","Q48","Q55_First.Click","Q55_Last.Click","Q55_Page.Submit","Q55_Click.Count","Q42","Q44","Q45","Q46","Q53_First.Click","Q53_Last.Click","Q53_Page.Submit","Q53_Click.Count","Q10","Q50_First.Click","Q50_Last.Click","Q50_Page.Submit","Q50_Click.Count","Q11","Q51_First.Click","Q51_Last.Click","Q51_Page.Submit","Q51_Click.Count","Q13","Q52_First.Click","Q52_Last.Click","Q52_Page.Submit","Q52_Click.Count","Q1","Q56_First.Click","Q56_Last.Click","Q56_Page.Submit","Q56_Click.Count","Q57_First.Click","Q57_Last.Click","Q57_Page.Submit","Q57_Click.Count","X1_Q25","X1_Q60_First.Click","X1_Q60_Last.Click","X1_Q60_Page.Submit","X1_Q60_Click.Count","X1_Q20","X1_Q24","X1_Q61_First.Click","X1_Q61_Last.Click","X1_Q61_Page.Submit","X1_Q61_Click.Count","X2_Q25","X2_Q60_First.Click","X2_Q60_Last.Click","X2_Q60_Page.Submit","X2_Q60_Click.Count","X2_Q20","X2_Q24","X2_Q61_First.Click","X2_Q61_Last.Click","X2_Q61_Page.Submit","X2_Q61_Click.Count","X3_Q25","X3_Q60_First.Click","X3_Q60_Last.Click","X3_Q60_Page.Submit","X3_Q60_Click.Count","X3_Q20","X3_Q24","X3_Q61_First.Click","X3_Q61_Last.Click","X3_Q61_Page.Submit","X3_Q61_Click.Count","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q28_12","Q37","Q64_First.Click","Q64_Last.Click","Q64_Page.Submit","Q64_Click.Count","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q32_9","Q32_10","Q32_11","Q39","Q65_First.Click","Q65_Last.Click","Q65_Page.Submit","Q65_Click.Count","Q35_1","Q35_2","Q35_3","Q35_4","Q35_5","Q35_6","Q35_7","Q35_8","Q35_9","Q35_10","Q35_11","Q40","Q66_First.Click","Q66_Last.Click","Q66_Page.Submit","Q66_Click.Count","resp1","resp2","condition","firstlist","otherprompt","qID1","qID2","qID3","preamble","freelist","listitem","scalenumber","itemrefer","showprompt","id","completion_order","new","in.soft.launch"
"352","0","0","11.347","0","1","0","0","5.383","0","36","1","3","1","","","","","climate is happening because of the man made pollution and waste which is driving our whether patterns to change","4.488","4.488","74.629","1","2","7.196","7.196","8.519","1","","","","","","dog
camel
pig","9.513","24.008","28.482","3","0","0","4.668","0","","","","","","pollution
waste
coal","none","4.223","19.904","23.303","2","","","","","","sea levels will rise ","none","8.212","18.644","22.853","2","3","11.525","11.525","12.202","1","there is nothing people can do","none","5.966","5.966","27.628","1","5","6","6","5","6","6","6","6","6","7","7","6","none","9.609","30.473","33.672","15","6","6","5","6","5","6","5","6","7","7","6","none","5.961","22.321","26.25","15","6","6","7","6","6","5","6","6","6","5","6","none","3.879","19.207","24.068","12","there is nothing people can do","","2","<li>there is nothing people can do</li>","","3_QID20","","","climate change is occurring","society cannot stop or reduce climate change","reasons why","4","for why","0",9,26,FALSE,FALSE
"638","0","0","76.213","0","1","1.158","1.158","1.767","1","50","2","5","1","","","","","load of rubbish politicians use to change laws and distract people from real important issues like the fact that it is impossible to get a full time paid job that pays enough for basci living expenses","13.209","13.209","71.424","1","3","31.384","31.384","32.415","1","3","4.087","4.087","4.862","1","lion
tiger
fox","34.136","34.136","41.787","1","0","0","7.631","0","","","","","","claimin small changes are linked to something and not random
they are funded to make that finding
incorrect logic or bias","if you are paid to get a specific result you will do that because your job depends on it","14.672","64.872","88.224","2","","","","","","they create more work/ jobs for themself to justify this claim
they can then demand to be paid to monitor the process
it boosts their ego","research needs money, who is paying for all this??","12.05","48.774","64.072","2","2","8.4","8.4","9.596","1","stop using their car as petrol causes damage to teh environment
use public transport to be more fuel efficient
hosehold applicance that use less electricity","energy conservation use this to justify selling new appliances","8.093","80.963","96.46","2","2","1","1","1","1","1","1","1","4","1","1","2","","8.964","28.336","35.382","13","2","2","2","2","2","2","2","2","2","2","2","","7.819","18.257","19.557","11","5","4","4","4","4","5","5","4","4","6","4","","16.557","36.517","37.933","11","stop using their car as petrol causes damage to teh environment","use public transport to be more fuel efficient","3","<li>stop using their car as petrol causes damage to teh environment</li><li>use public transport to be more fuel efficient</li><li>hosehold applicance that use less electricity</li>","","3_QID20","","","some climate scientists claim they believe climate change is happening","society could do to stop or reduce the claims of these climate scientists","things that","4","that","0",10,69,FALSE,FALSE
"407","0","0","8.216","0","1","0","0","2.668","0","24","2","2","1","","","","","The increase in temperature all over the world due to a breakdown in the atmosphere resulting in natural disasters and an increased water level","0.953","0.953","57.952","1","1","3.115","3.115","4.359","1","","","","","","cat
dog
mouse","0.927","5.92","14.452","2","1.984","1.984","4.464","1","","","","","","increasing greenhouse gases","no","9.81","90.196","94.771","4","","","","","","extreme temperatures eg heatwaves
variability in rainfall
rising sea levels due to thermal expansion
melting of glaciers and ice sheets
warming of the ocean surface and water","","85.285","113.871","118.65","4","1","5.004","5.004","5.913","1","reduce carbon emissions","","1.496","10.298","12.655","3","7","4","5","6","6","6","6","6","6","6","3","6","","11.157","28.126","30.38","13","6","6","6","6","6","6","6","6","6","6","6","","2.2","8.991","10.801","12","6","6","6","6","6","6","6","6","6","6","6","","2.988","12.441","13.569","14","reduce carbon emissions","","1","<li>reduce carbon emissions</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",11,32,FALSE,FALSE
"746","0","0","19.297","0","1","0","0","3.381","0","41","1","5","1","","","","","Man made global warming.","4.96","4.96","18.15","1","1","5.346","5.346","6.432","1","","","","","","Cow
Dog
cat","8.98","8.98","17.634","1","0","0","10.437","0","","","","","","Excessive use of oil
Excessive use of coal
Excessive population (on earth)","Im no scientist but I believe climate change is caused by excess - of a range of things","7.776","53.791","89.716","2","","","","","","Temperature will rise
Sea levels will rise
extreme weather - more and severe droughts, storms etc","N/A","6.102","44.606","58.787","3","1","9.652","9.652","11.154","1","Quota on travel (car/plane)
Equality for minimization of electric cars/smart homes
Better base for coal/wind/wave etc
Consider all views not just extreme left","Climate change will increase the difference between have/have nots. It already is - why should people who can afford electric cars not be liable for roads etc when a poorer person has to have a petrol car and gets hit with extreme petrol/tax costs. My view this is a reason why lower income people believe climate change is a scam as they/we are always hit with the cost. electricity price goes up - wealthy people put solar on - poorer people cant.","6.537","109.971","264.039","4","6","4","5","2","2","4","6","6","5","4","5","6","No","8.598","64.286","67.909","13","2","7","3","5","6","7","7","7","2","5","3","Liked these questions!","7.961","41.385","51.551","12","4","3","4","2","4","3","2","1","3","4","1","I had to guess some answers 'putting more dust in the atmosphere' as an example, I didnt quite know what that meant","10.277","61.157","94.793","14","Quota on travel (car/plane)","Equality for minimization of electric cars/smart homes","1","<li>Quota on travel (car/plane)</li><li>Equality for minimization of electric cars/smart homes</li><li>Better base for coal/wind/wave etc</li><li>Consider all views not just extreme left</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",12,36,FALSE,FALSE
"293","4.06","4.06","4.359","1","1","0","0","3.652","0","43","2","2","1","","","","","ufhgfjhffj","0.845","0.845","2.208","1","2","0.712","0.712","1.47","1","","","","","","cat
mouse
dog","0.065","27.258","34.844","4","0","0","2.017","0","","","","","","jgjgj","ghghjfg","0.809","3.188","3.993","2","","","","","","hjfjhfh","hfhf","0.682","2.345","2.673","3","1","0.81","0.81","1.824","1","hgjgghg","hgghggh","23.627","24.828","25.813","2","3","3","3","4","4","4","3","4","3","3","2","2","bcjcc","2.205","9.989","11.169","15","2","3","3","3","2","3","3","2","3","2","5","ghfdhgd","1.491","10.688","11.624","15","2","1","3","2","3","2","3","3","2","3","3","hfjhf","1.545","8.017","9.341","12","hgjgghg","","2","<li>hgjgghg</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",13,42,FALSE,FALSE
"334","13.41","13.41","13.915","1","1","0","0","3.158","0","20","1","4","1","","","","","planet heating up because of gasses in the atmosphere","1.623","1.623","38.869","1","1","3.645","3.645","4.746","1","","","","","","cat
dog
mouse","11.147","11.147","18.14","1","0","0","12.029","0","","","","","","people
gasses
carbon dioxide","nah","2.298","15.407","17.402","2","","","","","","people dead
planet very hot","nah","4.398","69.614","71.243","3","1","3.675","3.675","6.502","1","reduce carbon emissions","nah","1.257","11.1","13.043","2","7","5","6","6","6","6","7","7","5","5","3","6","nah","5.655","29.2","31.448","15","6","7","7","4","4","7","6","7","7","7","7","nah","6.236","28.992","32.236","13","1","1","3","2","7","3","2","6","7","6","1","nah","8.029","35.968","39.032","12","reduce carbon emissions","","1","<li>reduce carbon emissions</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",14,61,FALSE,FALSE
"562","2.943","2.943","4.042","1","1","0","0","1.164","0","26","1","4","1","","","","","do not know","1.147","1.147","6.445","1","2","2.402","2.402","3.241","1","","","","","","cat
dog
mouse","11.043","20.092","21.005","3","0","0","1.992","0","","","","","","do not know","do not know","1.845","7.604","13.764","4","","","","","","do not know","do not know","1.275","11.767","12.462","4","2","1.467","2.4","407.7","2","do not know","do not know","1.651","2.092","11.983","2","5","5","4","4","4","4","4","4","4","3","3","3","none","1.995","12.787","15.001","18","4","4","4","4","4","4","4","4","4","4","4","none","1.453","11.235","11.95","15","4","4","4","4","4","4","4","4","4","4","4","none","1.502","19.536","22.183","19","do not know","","2","<li>do not know</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",15,74,FALSE,FALSE
"606","0","0","12.47","0","1","0","0","2.742","0","63","2","4","1","","","","","increasing temperatures causing unstable climatic conditions and rising sea levels","1.171","1.171","30.731","1","1","2.678","2.678","3.809","1","","","","","","horse
dog
human","9.237","66.4","68.29","6","9.529","17.7","19.601","2","","","","","","damaged ozone layer
use of carbon producing fuels
deforestation","I don't think so","1.998","70.606","75.493","5","","","","","","sea levels could increase causing low lying areas/islands to become inundated with water
plants that can't survive increasing temperatures will die
extinctions will escalate dramatically
climatic conditions will fluctuate wildly
eventually the earth will become deforested and uninhabitable","no","22.758","143.615","146.993","2","1","4.101","4.101","6.548","1","stop cutting down forests
stop using fossil fuels
undertake massive tree plantings and reforestations
stop polluting the earth and clean up what we've done","no","1.92","82.485","85.054","3","7","4","7","5","7","7","7","7","5","7","7","7","no","4.81","28.971","32.395","13","7","7","7","6","6","7","7","7","7","7","7","","6.714","34.925","41.142","12","4","1","1","1","4","1","4","1","4","4","1","","13.876","47.9","51.173","12","stop cutting down forests","stop using fossil fuels","1","<li>stop cutting down forests</li><li>stop using fossil fuels</li><li>undertake massive tree plantings and reforestations</li><li>stop polluting the earth and clean up what we've done</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",16,48,FALSE,FALSE
"652","0","0","7.046","0","1","0","0","2.971","0","61","1","3","1","","","","","changing patterns of weather","11.284","11.284","28.057","1","1","3.062","3.062","4.269","1","","","","","","racoon
horse
buffalo","14.367","14.367","30.656","1","0","0","20.932","0","","","","","","pollution
deforestation
volcanic eruptions","No","5.258","51.807","55.803","2","","","","","","inundation of coastal towns and cities with flood waters
increasing ferocity of cyclones
bushfires due to rising temperatures","No","4.549","100.371","103.747","3","1","3.187","3.187","5.392","1","limit CO2 emissions from power stations and other industrial complexes
more tree planting
stop using fossil fuels

","No","4.875","142.345","146.212","12","7","7","7","4","3","2","7","7","7","7","6","7","No","11.409","47.969","51.961","13","5","7","7","5","6","7","6","7","7","7","7","No","14.16","42.311","46.773","12","4","2","3","2","4","1","5","3","2","7","1","No","32.881","104.673","108.123","12","limit CO2 emissions from power stations and other industrial complexes","more tree planting","1","<li>limit CO2 emissions from power stations and other industrial complexes</li><li>more tree planting</li><li>stop using fossil fuels</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",17,59,FALSE,FALSE
"2307","36.008","36.008","38.275","1","1","0","0","3.264","0","76","1","2","1","","","","","Climate change is the warming of the earths atmosphere causing higher sea levels and extreme weather conditions and melting of the ice caps.

It could also be the biggest money maker for the governments of the world using scare tactics and  taxing carbon emissions, when this wamring/cooling has been happening for millions of years","15.714","337.354","349.872","13","3","6.138","6.138","8.334","1","3","3.136","3.136","4.891","1","*Elephant
*Reindeer
*Unicorn","20.563","129.234","131.024","8","20.556","32.462","36.457","2","","","","","","Rising oceans
Melting of the ice caps
Extreme weather conditions, floods, hurricanes, tornadoes etc.","","22.138","91.149","93.188","3","","","","","","Beaches washed away and housing along beaches collapsing
Massive tides causing untold damage.
Total change in climates, extreme HOTS and COLDS
Atmosphere polluting factories closed if unable too greatly reduce carbon emissions.
Unemployment rising because of.
Change too type of international/local transportation","","19.475","439.71","443.378","16","1","42.067","42.067","44.706","1","We can all reduce our waste
We can all reduce our pollution
Force Governments too change too clean energy
We could reduce the amount of travel by vehicle sharing
Get motor vehicle manufacturers to stop making petrol vehicles
Run much better public transport systems and more often services, 24hrs a day
Have mandatory sentencing (terms) for people polluting
Safer storage and disposal of chemical/nuclear waste  ","","7.967","549.602","553.465","17","5","7","7","1","4","6","5","7","5","4","3","7","Good range of questions","17.546","149.026","150.764","18","5","6","4","3","3","5","6","6","4","5","3","No","16.298","147.413","148.849","23","3","2","5","3","5","2","7","3","2","7","3","Interesting questions, hard enough too answer without any changes","8.975","224.027","225.571","21","We can all reduce our waste","We can all reduce our pollution","3","<li>We can all reduce our waste</li><li>We can all reduce our pollution</li><li>Force Governments too change too clean energy</li><li>We could reduce the amount of travel by vehicle sharing</li><li>Get motor vehicle manufacturers to stop making petrol vehicles</li><li>Run much better public transport systems and more often services, 24hrs a day</li><li>Have mandatory sentencing (terms) for people polluting</li><li>Safer storage and disposal of chemical/nuclear waste  </li>","","3_QID20","","","some climate scientists claim they believe climate change is happening","society could do to stop or reduce the claims of these climate scientists","things that","4","that","0",18,81,FALSE,FALSE
"307","5.314","5.314","6","1","1","1.789","1.789","2.674","1","28","1","5","1","","","","","where climate is changed","3.043","3.043","10.546","1","2","4.418","4.418","5.169","1","","","","","","panda
koala
bear","5.557","30.909","31.829","5","3.053","3.053","6.889","1","","","","","","weather
environment 
gas","no","3.222","43.593","45.376","8","","","","","","idk
idk
idk","no","5.506","22.961","24.678","4","1","7.078","8.197","9.23","2","idk
idk
idk","nah","3.147","16.591","17.471","4","7","6","7","6","7","6","7","6","7","6","7","6","make it about other topics as well","4.06","26.48","36.671","17","2","3","2","3","2","3","2","3","2","3","2","more interesting ones","2.558","22.985","31.949","19","1","2","1","2","1","2","1","2","1","2","1","fun","1.859","44.939","45.743","20","idk","idk","2","<li>idk</li><li>idk</li><li>idk</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",19,76,FALSE,FALSE
"408","0","0","5.961","0","1","1.227","1.227","1.895","1","29","1","4","1","","","","","the warming effect on the weather","1.851","1.851","18.577","1","3","9.569","9.569","10.821","1","2","1.697","5.35","6.186","2","fish
rhino
wombat","5.997","5.997","57.187","1","0","0","16.434","0","","","","","","human impact
chemicals
methane","","1.475","1.475","149.993","1","","","","","","rising temperatures","","5.514","5.514","16.121","1","1","6.596","6.596","9.416","1","reduce consumption","","3.113","3.113","13.471","1","4","4","4","4","4","4","4","4","4","4","4","4","","7.246","18.388","20.445","16","3","4","5","3","4","5","3","5","5","4","4","","1.511","10.14","11.691","15","5","4","2","4","4","3","5","3","5","3","4","","16.354","24.445","26.025","13","reduce consumption","","2","<li>reduce consumption</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",20,28,FALSE,FALSE
"409","0","0","10.95","0","1","0","0","1.708","0","21","1","4","1","","","","","The change in the global temperature, resulting in change of environment in more negative ways and positives.","1.048","42.025","45.7","6","1","2.079","2.754","3.053","2","","","","","","cat
dog
mouse","1.481","1.481","7.915","1","0","0","14.461","0","","","","","","fossil fuel usage
excess use of chemicals that affect the atmosphere
cattle farm
","","1.233","1.233","88.348","1","","","","","","Loss in biodiversity
Loss of ice caps
Rising sea levels
Increased temperature
Extreme weather events","","2.043","2.043","44.364","1","1","2.936","2.936","7.406","1","Recycle
Enable the production of more renewable energy
Reduce waste
Use bio-degradable products
Eat less meat ","","1.115","48.391","78.356","2","7","2","7","7","2","4","5","4","3","7","6","7","","2.835","20.9","22.631","14","2","7","7","6","7","5","6","6","7","6","7","","4.09","22.864","23.726","11","1","1","2","1","6","2","2","4","1","6","1","","4.318","39.617","40.547","13","Recycle","Enable the production of more renewable energy","1","<li>Recycle</li><li>Enable the production of more renewable energy</li><li>Reduce waste</li><li>Use bio-degradable products</li><li>Eat less meat </li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",21,6,FALSE,TRUE
"1300","0","0","18.152","0","1","0","0","16.405","0","73","2","4","1","","","","","variations in climate over a period ,of often unknown cause, ","3.779","82.746","100.506","5","1","7.735","7.735","9.89","1","","","","","","cat
horse
dog","13.588","13.588","60.827","1","0","0","16.878","0","","","","","","natural cycle
human interference
high pollutants from developing countries","no","9.778","161.625","168.575","4","","","","","","worsening of quality of air to breathe
cooler or warmer climates","no","10.88","83.007","90.062","3","2","40.579","40.579","42.208","1","encourage the worlds major polluters to cut their use of fires daily
major polluters must cut industrial emmisions....eg  China
","no","8.086","291.316","296.048","6","4","7","5","5","3","6","3","7","5","5","2","2","are we talking Australia or the world.??...we are a drop in the ocean of pollution. ","19.565","122.796","160.804","16","3","3","2","2","2","4","4","4","3","3","4","Are we talking here or worldwide...not specific,","15.524","66.053","112.93","12","3","3","3","4","4","4","4","2","3","5","3","no","28.997","85.132","95.466","12","encourage the worlds major polluters to cut their use of fires daily","major polluters must cut industrial emmisions....eg  China","1","<li>encourage the worlds major polluters to cut their use of fires daily</li><li>major polluters must cut industrial emmisions....eg  China</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",22,86,FALSE,FALSE
"1018","21.641","24.226","25.062","2","1","0","0","2.354","0","51","2","2","1","","","","","I think climate change is connect to weather conditions and global warming.","115.45","328.577","369.469","7","2","7.565","7.565","8.677","1","","","","","","kangaroo
koala
platypus","30.133","42.835","54.558","4","10.968","10.968","13.468","1","","","","","","greenhouse gases
humans
fossil fuels burning into our atmosphere
cutting down trees
","no","31.105","126.736","129.501","5","","","","","","Warmer weather
sea level rising
droughts
bushfires
declining animals in the ocean

","no","36.812","112.427","113.201","5","2","6.362","6.362","7.346","1","stop burning fossil fuels
stop cutting down trees
using renewable energy
","no","7.344","102.817","103.4","5","7","5","7","4","6","5","6","4","6","6","4","5","no","13.892","47.356","49.841","16","4","5","5","4","4","6","4","5","4","4","5","no","4.912","46.407","47.02","16","2","2","4","3","4","2","3","4","2","4","2","no","20.512","59.681","62.501","14","stop burning fossil fuels","stop cutting down trees","2","<li>stop burning fossil fuels</li><li>stop cutting down trees</li><li>using renewable energy</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",23,35,FALSE,FALSE
"802","0","0","225.363","0","1","0","0","9.402","0","40","1","3","1","","","","","difference in weather  and different temperatures ","2.176","2.176","21.581","1","2","9.773","10.733","11.6","2","","","","","","horse
cow
donkey","5.018","30.955","42.652","2","0","0","13.814","0","","","","","","temperature
rain
storms ","no","2.572","27.413","32.776","3","","","","","","eroison
cyclones
rain","","22.247","22.247","58.649","1","2","13.33","13.33","14.501","1","government ","","7.682","17.412","19.759","2","5","7","6","4","6","5","6","4","5","5","3","5","","92.897","118.906","121.143","13","5","7","7","6","5","6","7","5","6","7","6","","16.644","52.965","55.644","15","6","5","6","4","5","5","7","6","7","4","5","","4.782","84.017","85.884","13","government ","","2","<li>government </li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",24,44,FALSE,FALSE
"367","0","0","8.477","0","1","0","0","5.483","0","63","2","3","1","","","","","Climate change is when the hot places on earth get hotter and the cold places on earth get colder.  ","1.683","1.683","33.794","1","1","2.388","2.388","3.795","1","","","","","","bird
lion
wolf","15.309","19.386","41.047","2","11.026","11.026","16.318","1","","","","","","man
industry","No","1.525","37.624","41.368","2","","","","","","Uninhabitable earth
","No","2.497","24.89","27.456","4","1","4.567","4.567","6.87","1","Stop using fossil fuel.
Stop using anything disposable.","No","1.134","28.61","32.555","2","6","4","6","6","7","4","6","7","6","7","4","4","No","5.023","26.115","30.98","14","3","6","5","5","5","6","4","5","4","5","5","No.","8.774","36.324","41.687","15","2","2","4","3","4","3","4","1","1","3","3","No.","10.655","40.925","47.676","15","Stop using fossil fuel.","Stop using anything disposable.","1","<li>Stop using fossil fuel.</li><li>Stop using anything disposable.</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",25,77,FALSE,FALSE
"417","11.569","17.627","19.605","2","1","0","0","1.925","0","31","2","2","1","","","","","i dont really know ","1.71","1.71","19.95","1","2","5.967","5.967","8.175","1","","","","","","rabbit
duck
cow","5.416","47.742","49.975","7","0","0","48.325","0","","","","","","rain
wind
sun","no","5.352","34.846","36.048","4","","","","","","i dont know","","3.273","20.979","29.634","2","2","4.38","4.38","5.901","1","use less water","","1.956","42.885","44.601","2","4","4","4","4","4","4","4","4","4","4","4","4","","2.931","19.902","20.962","17","4","4","4","4","4","4","4","4","4","4","4","no","3.085","26.478","27.273","15","4","4","4","4","4","4","4","4","4","4","4","no","5.099","20.189","24.892","14","use less water","","2","<li>use less water</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",26,75,FALSE,FALSE
"345","0","0","6.274","0","1","0","0","2.483","0","50","1","2","1","","","","","climate change is due to the global warming. it because of this the weather changes and causing hurricane","1.32","1.32","55.093","1","1","6.845","6.845","7.9","1","","","","","","cat
dog
mouse","11.182","11.182","22.45","1","0","0","7.505","0","","","","","","polution
rubbish 
population","none","4.63","31.142","36.794","2","","","","","","hurricane
floods
hot weather or cold weather ","none","1.425","28.154","31.429","2","1","5.818","5.818","7.182","1","reduce plastic usage
reduce cutting trees
reduce mining","none","1.387","30.307","34.014","2","6","6","7","7","7","7","6","6","7","7","7","7","none","5.144","25.109","26.442","15","6","7","6","6","5","6","5","6","6","6","6","none","4.428","13.748","17.09","12","6","6","5","5","5","6","6","5","6","6","6","none","51.434","59.922","64.12","12","reduce plastic usage","reduce cutting trees","1","<li>reduce plastic usage</li><li>reduce cutting trees</li><li>reduce mining</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",27,29,FALSE,FALSE
"1836","0","0","20.005","0","1","0","0","2.921","0","79","2","4","1","","","","","Climate change is when temperatures become much higher than they have been over many years. This can affect the temperature of the sea as well as the atmosphere and cause moisture take up to change rainfall and drought will become persistant across parts of the country.","7.13","341.617","409.465","16","1","5.647","5.647","9.271","1","","","","","",". kangaroo
. fox
. eat","25.959","87.371","101.753","4","26.376","26.376","56.213","1","","","","","",". high temperatures
. lack of rainfall
. drought","These points follow each other high temperatures cause lower rainfall which causes drought in parts of the countryside.","6.326","166.741","257.694","6","","","","","",". Drought conditions affect plant growth
. Crops have lower yields
. Animals lack enough feed 
. Streams and rivers have reduced water for irrigation
. Dams dry up
. Food prices rise because of lower production","no","14.033","395.865","400.424","23","2","17.574","17.574","20.462","1",". Reduce the burning of fossil fuels such as coal
. Produce electricity by using solar panels and wind turbines
","","4.433","126.009","229.288","4","7","5","7","6","1","5","7","7","6","7","4","5","","9.977","59.225","70.195","13","5","6","7","3","4","7","6","7","6","6","7","","14.425","57.441","59.874","12","1","1","2","2","2","1","4","3","1","7","1","","21.703","148.414","151.871","13",". Reduce the burning of fossil fuels such as coal",". Produce electricity by using solar panels and wind turbines","1","<li>. Reduce the burning of fossil fuels such as coal</li><li>. Produce electricity by using solar panels and wind turbines</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",28,72,FALSE,FALSE
"568","0","0","9.788","0","1","0","0","6.195","0","25","2","4","1","","","","","Climate change is the sudden change of the temperature around us due to greenhouse gas/man made gas that is affecting/damaging the earth.","1.577","1.577","49.599","1","1","31.945","31.945","33.036","1","","","","","","chicken
cow
parrot","7.732","7.732","23.112","1","0","0","12.038","0","","","","","","Factories
Pollution
Humans
","It is mostly our actions and how we are growing into such a developed, needy world where we have to find things like energy fast and it be efficient, but at the cost of a little pollution, but when lots of companies/people do it, it's becoming a bit of an issue.","2.02","27.992","90.683","2","","","","","","Most life could be damaged/destroyed
The air could become dirty and polluted, a big issue for Asthmatics
","No, I feel it's pretty clear.","4.585","54.317","64","2","1","2.551","2.551","6.15","1","Maybe use their microwave a bit less, or put things like the fire out earlier.
Use less electricity to dis-encourage the manufacturers to use fossil fuelled energy.","No, I believe it's clear.","2.493","79.614","80.058","10","6","3","7","5","7","7","6","6","7","7","5","5","Maybe have a scale like 1-7, just so it's a bit easier for the dumb founded, definitely not me...","7.668","69.104","71.588","14","5","2","3","7","7","7","6","6","5","7","7","No, maybe just a scale again.","9.599","45.218","45.673","13","7","7","6","7","6","6","6","7","5","2","6","No, this one just may need a scale too :)","7.533","38.473","47.365","14","Maybe use their microwave a bit less, or put things like the fire out earlier.","Use less electricity to dis-encourage the manufacturers to use fossil fuelled energy.","1","<li>Maybe use their microwave a bit less, or put things like the fire out earlier.</li><li>Use less electricity to dis-encourage the manufacturers to use fossil fuelled energy.</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",29,43,FALSE,FALSE
"305","0","0","22.248","0","1","0","0","1.42","0","24","2","4","1","","","","","A change in global climate due to greenhouse gas effect.","1.282","21.96","35.101","2","1","3.715","3.715","4.877","1","","","","","","cat
dog
lion","12.359","12.359","20.951","1","0","0","5.923","0","","","","","","deforestation
pollution
","","5.402","71.755","73.628","2","","","","","","natural disasters 
lack of natural resources ","","7.321","7.321","22.813","1","1","2.582","2.582","5.176","1","recycle
reduce energy usage","","2.124","2.124","12.374","1","6","2","5","4","4","4","5","6","5","4","3","4","No","3.409","28.385","29.825","13","4","5","5","5","5","6","5","4","5","5","6","","7.548","24.719","26.039","11","3","3","3","3","5","5","5","4","4","4","5","","6.065","19.295","21.102","11","recycle","reduce energy usage","1","<li>recycle</li><li>reduce energy usage</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",30,15,FALSE,TRUE
"678","7.081","24.618","53.151","7","1","9.801","9.801","12.493","1","57","1","2","1","","","","","it is when the planet is reacting to changes made by us humans","4.727","63.561","66.922","5","1","4.463","4.463","6.286","1","","","","","","horse
cow
rabbit","12.801","23.322","36.98","3","0","0","18.474","0","","","","","","heat
smoke
eorosoles
","not sure","5.445","73.046","80.246","5","","","","","","less water
hotter seasons
health problems","not sure","8.352","67.567","82.255","4","1","11.228","11.228","13.138","1","drive less
use green energy
eat less meat","not sure","4.253","50.75","57.829","3","7","7","7","7","7","7","7","7","7","5","7","7","not sure","9.432","44.382","52.116","16","7","7","7","7","7","7","7","7","7","7","7","not sure","7.518","53.608","54.679","16","1","1","1","1","1","1","2","1","2","2","1","not sure","12.464","72.898","74.36","19","drive less","use green energy","1","<li>drive less</li><li>use green energy</li><li>eat less meat</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",31,30,FALSE,FALSE
