Variable,Variable name (raw),Variable name (clean),Measurement unit,Allowed values,Description
Mental model scale: cause 10,Q28_10,mms.cause_10,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Use of electricity from coal and oil"
Mental model scale: cause 11,Q28_11,mms.cause_11,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: The use of aerosol spray cans"
Mental model scale: cause 12,Q28_12,mms.cause_12,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Air pollution from toxic chemicals"
Comment on Mental Model Scale (Cause),Q37,mms.cause.comment,Text,text,"Question = ""Do you have any recommendations for improving the survey questions on this page?"""
Time to first click on page showing Q28 & Q37,Q64_First.Click,mms.cause_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q28 & Q37,Q64_Last.Click,mms.cause_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q28 & Q37,Q64_Page.Submit,mms.cause_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q28 & Q37,Q64_Click.Count,mms.cause_Click.Count,Numeric,1-Inf,
Mental model scale: consequence 01,Q32_1,mms.conseq_1,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Food shortages where you live"
Mental model scale: consequence 02,Q32_2,mms.conseq_2,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: More and larger storms in many parts of the world"
Mental model scale: consequence 03,Q32_3,mms.conseq_3,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Disappearance of island nations due to sea level rise"
Mental model scale: consequence 04,Q32_4,mms.conseq_4,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Increase in your chances of suffering from a serious disease"
Mental model scale: consequence 05,Q32_5,mms.conseq_5,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Increased rates of serious disease all over the world"
Mental model scale: consequence 06,Q32_6,mms.conseq_6,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: More and longer droughts in many parts of the world"
Mental model scale: consequence 07,Q32_7,mms.conseq_7,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Decrease in your standard of living"
Mental model scale: consequence 08,Q32_8,mms.conseq_8,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Food shortages in many parts of the world"
Mental model scale: consequence 09,Q32_9,mms.conseq_9,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Climate refugees"
Mental model scale: consequence 10,Q32_10,mms.conseq_10,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Increased poverty in many parts of the world"
Mental model scale: consequence 11,Q32_11,mms.conseq_11,Numeric,"1-7 (1 = ""Extremely unlikely"", 2 = ""Very unlikely"", 3 = ""Somewhat unlikely"", 4 = ""Equally likely and unlikely"", 5 = ""Somewhat likely"", 6 = ""Very likely"", 7 = ""Extremely likely""","Question = ""Please rate for each of the following how likely it is as a consequence of climate change by the year 2050: Massive species extinctions"
Mental model scale: consequence 12,Q39,mms.conseq.comment,Text,text,"Question = ""Do you have any recommendations for improving the survey questions on this page?"""
Time to first click on page showing Q32 & Q39,Q65_First.Click,mms.conseq_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q32 & Q39,Q65_Last.Click,mms.conseq_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q32 & Q39,Q65_Page.Submit,mms.conseq_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q32 & Q39,Q65_Click.Count,mms.conseq_Click.Count,Numeric,1-Inf,
Mental model scale: mitigation 01,Q35_1,mms.mitig_1,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Funding research to make renewable energy technologies cheaper and more effective"
Mental model scale: mitigation 02,Q35_2,mms.mitig_2,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Reducing air pollution from toxic chemicals"
Mental model scale: mitigation 03,Q35_3,mms.mitig_3,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Increasing taxes on all fossil fuels (e.g., gasoline, oil, coal, kerosene)"
Mental model scale: mitigation 04,Q35_4,mms.mitig_4,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Changing lifestyles to reduce consumption"
Mental model scale: mitigation 05,Q35_5,mms.mitig_5,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Creating an international market to trade permissions to emit carbon dioxide"
Mental model scale: mitigation 06,Q35_6,mms.mitig_6,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Requiring cars and trucks to have higher fuel efficiency"
Mental model scale: mitigation 07,Q35_7,mms.mitig_7,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Fertilizing the oceans to make algae grow"
Mental model scale: mitigation 08,Q35_8,mms.mitig_8,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Limiting population growth"
Mental model scale: mitigation 09,Q35_9,mms.mitig_9,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Largely replacing fossil fuels with nuclear energy"
Mental model scale: mitigation 10,Q35_10,mms.mitig_10,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Putting more dust in the atmosphere"
Mental model scale: mitigation 11,Q35_11,mms.mitig_11,Numeric,"1-7 (1 = ""Reduce or stop climate change"", 4 = ""Neither reduce nor increase"", 7 = ""Increase climate change""","Question = ""In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change: Planting trees"
Mental model scale: mitigation 12,Q40,mms.mitig.comment,Text,text,"Question = ""Do you have any recommendations for improving the survey questions on this page?"""
Time to first click on page showing Q66 & Q40,Q66_First.Click,mms.mitig_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q66 & Q40,Q66_Last.Click,mms.mitig_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q66 & Q40,Q66_Page.Submit,mms.mitig_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q66 & Q40,Q66_Click.Count,mms.mitig_Click.Count,Numeric,1-Inf,
N/A,resp1,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,resp2,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
Condition,condition,condition,Numeric,"1 = Climate change is happening now, 2 = climate change could happen, but is not happening now, 3 = climate change could never happen.",Condition of participant. Determined the exact text of the free list.
N/A,firstlist,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,otherprompt,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,qID1,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,qID2,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,qID3,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,preamble,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,freelist,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,listitem,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,scalenumber,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,itemrefer,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
N/A,showprompt,N/A,N/A,N/A,"Variable embedded in Qualtrics survey, no relevant meaning."
ID,id,,Numeric,1-Inf,Internal ID given to participants. Randomly assigned.
Order of completion,completion_order,,Numeric,1-Inf,Order of completion. Low numbers were in soft launch
Participant required replacement,new,,Logical,"TRUE = Participant from soft launch was replaced, FALSE = otherwise","In this study, no participant data required replacement, therefore all values are FALSE."
Participant inclusion in soft launch,in.soft.launch,,Logical,"TRUE = Participant from soft launch, FALSE = otherwise","Some participants participated in a polit/soft launch of the survey, to ensure the survey functioned as intended and to dermine the criteria for early completion."
