crib_f2,n,text,fsc_f2,cons,dist_f2,com_f2
Items Ranked Higher in this Factor Array than in Other Factor Arrays,26,"It is shameful that climate change, the greatest problem of our time, is barely discussed in the media.",0,FALSE,TRUE,These statements are the most difficuilt to interpret within this perspective.
Items Ranked Higher in this Factor Array than in Other Factor Arrays,28,"Regardless of who is elected, the reality is that climate change is going to destroy everything.",0,FALSE,TRUE,These statements are the most difficuilt to interpret within this perspective.
Items Ranked Lower in this Factor Array than in Other Factor Arrays,4,Poor people will be impacted the worst by climate change.,0,FALSE,TRUE,"Benign, compared to [8] which is vehemently denied"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,9,Politicians and the mass media are ignorant about the risks of climate change.,-1,FALSE,TRUE,These statements are the most difficuilt to interpret within this perspective.
Items Ranked Lower in this Factor Array than in Other Factor Arrays,10,Climate change sceptics ignore basic climate science facts.,-1,FALSE,TRUE,"Despite this profile being strongly sceptical, this statement is within the middle of the distribution. "
Items Ranked Lower in this Factor Array than in Other Factor Arrays,14,Politicians who refuse to tackle climate change are just as bad as those who deny climate science.,-1,FALSE,TRUE,The morality judgement here may lead to disagreement.
Items Ranked Lower in this Factor Array than in Other Factor Arrays,19,"Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections.",-1,FALSE,TRUE,More agreeable than the proposed risks of climate change
Items Ranked Lower in this Factor Array than in Other Factor Arrays,22,People who deny the science of climate change should not hold public office.,-1,FALSE,TRUE,"Despite this profile being strongly sceptical, this statement is within the middle of the distribution. "
Items Ranked Lower in this Factor Array than in Other Factor Arrays,11,"Through cutting science funding, we damage Australia's ability to respond to climate change.",-2,FALSE,TRUE,"Nonsensical within this profile, given [2]"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,12,The Great Barrier Reef is at risk from climate change.,-2,FALSE,TRUE,The climate isn't changing [17]
Items Ranked Lower in this Factor Array than in Other Factor Arrays,15,The increased occurrence of extreme weather events is a clear sign that climate change is real.,-2,FALSE,TRUE,The climate isn't changing [16]
Items Ranked Lower in this Factor Array than in Other Factor Arrays,17,Australia is experiencing more extreme weather and hotter days due to climate change.,-2,FALSE,TRUE,"Denial of changes, consistent with other statements [16]"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,8,Climate change is a threat to the health and safety of our children.,-3,FALSE,TRUE,"Combined with [1], climate change detracts from more important issues. Also see [19]"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,13,The threat of climate change is much worse than climate scientists originally thought.,-3,FALSE,TRUE,Statement in isolation is difficuilt to interpret in this profile. Those who ranked it (-4) argue climate change isn't anthropogenic. 
Items Ranked at Lowest Extreme,1,It is important to vote for leaders who will combat climate change.,-4,FALSE,TRUE,"Not important, probably damaging given [3,6]. Qual comments emphasise the importance for other priorities (e.g., homelessness; ""Poverty, Crime, Disease, Drugs. Climate Change is the least of our problems. All politicians are greedy and and only concerned about ""what they can get"". No one cares about people living below the poverty line, and all the crime in the country. Focus on today. Not ""what might happen"" in the future.""), and that mitigation is impossible (""how do you tame mother nature, money can't"")"
Not on Crib Sheet,25,We must start working together for real solutions on climate change.,1,FALSE,TRUE,These statements are the most difficuilt to interpret within this perspective.
Not on Crib Sheet,20,"Climate sceptics, with no genuine expertise, cannot know better than climate scientists.",0,TRUE,FALSE,"May not be vehemently advocated, as people cannot have a genuine expertise in climate changes [2]"
Not on Crib Sheet,21,Climate change and human burning of fossil fuels are strongly linked.,0,FALSE,TRUE,Statements at 0 are generally disagreed with.
Not on Crib Sheet,23,"We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power.",0,FALSE,TRUE,"Above [19], more opposed to the statement being the topic of election than the technology itself"
